Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018]
Ghana,GHA,"Natural capital per capita, agricultural land: pastureland (constant 2018 US$)",NW.NCA.PASL.PC,207.5766,183.4413,157.5171,140.1197
Ghana,GHA,"Natural capital per capita, fisheries (constant 2018 US$)",NW.NCA.FISH.PC,61.83503,61.46244,72.11764,69.5054
Ghana,GHA,"Natural capital per capita, forests: ecosystem services (constant 2018 US$)",NW.NCA.FECO.PC,736.7711,726.3256,708.2604,702.3067
Ghana,GHA,"Natural capital per capita, forests: timber (constant 2018 US$)",NW.NCA.FTIM.PC,2062.594,2105.185,2033.048,1860.532
Ghana,GHA,"Natural capital per capita, fossil fuels (constant 2018 US$)",NW.NCA.FOSL.PC,879.6102,727.1353,487.5528,498.193
Ghana,GHA,"Natural capital per capita, mangroves (constant 2018 US$)",NW.NCA.MANG.PC,70.22593,70.89869,71.52553,72.11063
Ghana,GHA,"Natural capital per capita, nonrenewable assets (constant 2018 US$)",NW.NCA.SSOI.PC,1337.442,1119.132,1035.822,793.3519
Ghana,GHA,"Natural capital per capita, nonrenewable assets: coal (constant 2018 US$)",NW.NCA.SACO.PC,0,0,0,0
Ghana,GHA,"Natural capital per capita, nonrenewable assets: gas (constant 2018 US$)",NW.NCA.SAGA.PC,8.055833,11.74529,16.86998,25.24094
Ghana,GHA,"Natural capital per capita, nonrenewable assets: minerals (constant 2018 US$)",NW.NCA.MINR.PC,457.8321,391.9969,548.2688,295.1588
Ghana,GHA,"Natural capital per capita, nonrenewable assets: oil (constant 2018 US$)",NW.NCA.SAOI.PC,871.5544,715.3901,470.6828,472.9521
Ghana,GHA,"Natural capital per capita, protected areas (constant 2018 US$)",NW.NCA.PRAR.PC,85.67198,75.7359,65.04537,57.88251
Ghana,GHA,"Natural capital per capita, renewable (constant 2018 US$)",NW.NCA.RNEW.PC,5725.039,5580.6,5415.514,5237.753
Ghana,GHA,"Natural capital, agricultural land (constant 2018 US$)",NW.NCA.AGRI.TO,75400000000,7.24E+10,7.18E+10,7.37E+10
Ghana,GHA,"Natural capital, agricultural land: cropland (constant 2018 US$)",NW.NCA.CROL.TO,69600000000,6.71E+10,6.72E+10,6.95E+10
Ghana,GHA,"Natural capital, agricultural land: pastureland (constant 2018 US$)",NW.NCA.PASL.TO,5780000000,5.22E+09,4.59E+09,4.17E+09
